index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Number_of_Self_Activations,Self Activation Status,Team Size
Density 32%_Without Self Activation_Network_71,Lowered Density,Density 32%,0.6644630846541201,0.6520740432742437,-0.9525785978100012,0.6528532153154966,0.2155166633138872,0.402,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_72,Lowered Density,Density 32%,0.6650453012107763,0.7127570972375988,-0.9464844547715172,0.6848981900452489,0.2259049773755656,0.4300000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_73,Lowered Density,Density 32%,0.6412164896712247,0.6689535665379144,-0.9462722257977316,0.6510523613963038,0.1950718685831622,0.4120000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_74,Lowered Density,Density 32%,0.6924573495215226,0.6350710766279346,-0.9431027193019992,0.6407662641461719,0.1715243092874755,0.4050000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_75,Lowered Density,Density 32%,0.5161737675569658,0.5227139526582069,-0.92167468542345,0.4747787189492719,0.1468068906443323,0.3340000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_76,Lowered Density,Density 32%,0.5385251187167134,0.5166058849752482,-0.9375096796107072,0.4680327217854023,0.1288221745691367,0.307,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_77,Lowered Density,Density 32%,0.7413202990070622,0.710158101245694,-0.9327714082655748,0.736164049397774,0.2073486812014026,0.3790000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_78,Lowered Density,Density 32%,0.5294437839587021,0.6016145298729155,-0.9323058454733176,0.5017599691402671,0.1096484883552726,0.3550000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_79,Lowered Density,Density 32%,0.5288324894827683,0.60717181280583,-0.939829439398416,0.5110327407901635,0.1362054996902254,0.3700000000000001,0,Without Self Activation,5.0
Density 32%_Without Self Activation_Network_80,Lowered Density,Density 32%,0.5186455277288027,0.5066224328391808,-0.9247627545284632,0.4663670629167875,0.1283947037788731,0.392,0,Without Self Activation,5.0
