index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Self Activation Status,Team Size
Density 52%_With Self Activation_Network_64,Lowered Density,Density 52%,0.908023807238048,0.8995321886088465,-0.8581897900479467,0.9110813032754964,0.7776383540305483,0.9499999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_65,Lowered Density,Density 52%,0.8671027253949986,0.8437795734010176,-0.8825904880272387,0.8625279820914614,0.7219779341221618,0.9489999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_66,Lowered Density,Density 52%,0.9344388220785332,0.9354429865332324,-0.8188512564032195,0.9466862763121612,0.8318779299567975,0.9519999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_67,Lowered Density,Density 52%,0.9349797599737448,0.9394182594316168,-0.8495582268386037,0.9574114519039028,0.8114613996771437,0.9479999999999996,With Self Activation,5.0
Density 52%_With Self Activation_Network_68,Lowered Density,Density 52%,0.9553516406041102,0.9538773525786576,-0.7956520870371029,0.9698020517266293,0.8598468429417714,0.9509999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_69,Lowered Density,Density 52%,0.9357101854347064,0.9344459664902718,-0.8140059279082483,0.9495515695067264,0.8395926756352765,0.949,With Self Activation,5.0
Density 52%_With Self Activation_Network_70,Lowered Density,Density 52%,0.9587036831610528,0.9598734096804432,-0.8414199848618436,0.981736497704854,0.8239574177165739,0.944,With Self Activation,5.0
Density 52%_With Self Activation_Network_71,Lowered Density,Density 52%,0.8576024631549954,0.8625730138420619,-0.8698969859111161,0.8590103490174719,0.754849792600662,0.948,With Self Activation,5.0
Density 52%_With Self Activation_Network_72,Lowered Density,Density 52%,0.9078161621620832,0.9137467659449616,-0.858410643999463,0.9270215254017063,0.7506604876781151,0.945,With Self Activation,5.0
Density 52%_With Self Activation_Network_73,Lowered Density,Density 52%,0.8182718666936465,0.8255914483453839,-0.872371490230831,0.8292511377741001,0.7438560198593297,0.9509999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_74,Lowered Density,Density 52%,0.9237793795426475,0.9312375003486164,-0.8532809714846294,0.9390333886736764,0.7869857959786017,0.947,With Self Activation,5.0
Density 52%_With Self Activation_Network_75,Lowered Density,Density 52%,0.8313408183906787,0.8374359744761113,-0.8905461025739939,0.8447163947163947,0.6915306915306916,0.9489999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_76,Lowered Density,Density 52%,0.8869201662435893,0.8870301573535806,-0.8598820081160342,0.8956337906635603,0.776167054965916,0.9489999999999998,With Self Activation,5.0
Density 52%_With Self Activation_Network_77,Lowered Density,Density 52%,0.9035153488668416,0.9048849598103086,-0.8359243082923601,0.918973484678541,0.8058683655614878,0.9489999999999998,With Self Activation,5.0
