index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
Density_20_TS_5_embed_P30N_C10N_trial_72,20.0,-0.8719422947096501,0.4576466666666619,0.0509,5,0.0,70.0,70.0,80.0,80.0,9.866666666666667
Density_20_TS_5_embed_P30N_C10N_trial_73,20.0,-0.8242973447723554,0.0049666666666664,0.0369,5,0.0,80.0,80.0,75.0,75.0,3.433333333333333
Density_20_TS_5_embed_P30N_C10N_trial_74,20.0,-0.4275918343069604,0.0063666666666665,0.032,5,0.0,100.0,100.0,40.0,40.0,3.2333333333333334
Density_20_TS_5_embed_P30N_C10N_trial_75,20.0,-0.5474996943777806,0.01263,0.0318,5,0.0,75.0,75.0,50.0,50.0,2.466666666666667
Density_20_TS_5_embed_P30N_C10N_trial_76,20.0,-0.5124231212191368,0.0047233333333333,0.0088,5,0.0,35.0,35.0,70.0,70.0,4.866666666666666
Density_20_TS_5_embed_P30N_C10N_trial_77,20.0,-0.6094266243582501,0.00422,0.0230999999999999,5,0.0,75.0,75.0,45.0,45.0,6.333333333333333
Density_20_TS_5_embed_P30N_C10N_trial_78,20.0,-0.8048045313586197,0.0862266666666655,0.0497,5,0.0,50.0,50.0,25.0,25.0,3.8333333333333335
Density_20_TS_5_embed_P30N_C10N_trial_79,20.0,-0.6703141078617119,0.040846666666664,0.0399,5,0.0,60.0,60.0,25.0,25.0,3.633333333333333
Density_20_TS_5_embed_P30N_C10N_trial_80,20.0,-0.9099438430277472,0.5749333333333215,0.0526,5,0.0,10.0,10.0,95.0,95.0,7.5
Density_20_TS_5_embed_P30N_C10N_trial_81,20.0,-0.728482249255806,0.1109766666666653,0.0745,5,0.0,30.0,30.0,10.0,10.0,6.5
Density_20_TS_5_embed_P30N_C10N_trial_82,20.0,-0.6527795543500033,0.0694366666666635,0.1175,5,0.0,30.0,30.0,10.0,10.0,2.7
Density_20_TS_5_embed_P30N_C10N_trial_83,20.0,-0.7974018613498527,0.0437399999999985,0.0516,5,0.0,55.0,55.0,20.0,20.0,5.5
Density_20_TS_5_embed_P30N_C10N_trial_84,20.0,-0.8397800562053336,0.1125299999999983,0.0539,5,0.0,80.0,80.0,30.0,30.0,3.5
Density_20_TS_5_embed_P30N_C10N_trial_85,20.0,-0.9889103114220282,0.3900066666666638,0.0456,5,0.0,30.0,30.0,90.0,90.0,3.933333333333333
Density_20_TS_5_embed_P30N_C10N_trial_86,20.0,-0.8687911383199268,0.2752399999999943,0.0986,5,0.0,10.0,10.0,5.0,5.0,7.233333333333333
Density_20_TS_5_embed_P30N_C10N_trial_87,20.0,-0.9889907694911708,0.3815133333333294,0.068,5,0.0,5.0,5.0,90.0,90.0,2.2
Density_20_TS_5_embed_P30N_C10N_trial_88,20.0,-0.8811651568513509,0.067543333333332,0.0378,5,0.0,35.0,35.0,100.0,100.0,9.666666666666666
Density_20_TS_5_embed_P30N_C10N_trial_89,20.0,-0.642825935585733,0.0164899999999996,0.0825999999999999,5,0.0,25.0,25.0,5.0,5.0,8.066666666666666
Density_20_TS_5_embed_P30N_C10N_trial_90,20.0,-0.2964483586744488,0.028476666666665,0.0864,5,0.0,20.0,20.0,5.0,5.0,2.533333333333333
Density_20_TS_5_embed_P30N_C10N_trial_91,20.0,-0.706924621373821,0.0688366666666659,0.0556,5,0.0,15.0,15.0,30.0,30.0,7.033333333333333
Density_20_TS_5_embed_P30N_C10N_trial_92,20.0,-0.4168206894231957,0.0079433333333332,0.0233,5,0.0,90.0,90.0,40.0,40.0,6.866666666666666
Density_20_TS_5_embed_P30N_C10N_trial_93,20.0,-0.867826758245647,0.0452433333333314,0.0474,5,0.0,75.0,75.0,30.0,30.0,2.6666666666666665
Density_20_TS_5_embed_P30N_C10N_trial_94,20.0,-0.3061349446493991,0.0178566666666657,0.0228,5,0.0,75.0,75.0,30.0,30.0,8.833333333333334
Density_20_TS_5_embed_P30N_C10N_trial_95,20.0,-0.9884319867676604,0.7493633333333307,0.0416,5,0.0,85.0,85.0,75.0,75.0,3.0
Density_20_TS_5_embed_P30N_C10N_trial_96,20.0,0.0830829371763398,0.0060333333333333,0.0260999999999999,5,0.0,45.0,45.0,60.0,60.0,6.133333333333334
Density_20_TS_5_embed_P30N_C10N_trial_97,20.0,-0.6734489737762128,0.0063,0.026,5,0.0,50.0,50.0,100.0,100.0,7.6
Density_20_TS_5_embed_P30N_C10N_trial_98,20.0,-0.764065049347148,0.0033633333333331,0.037,5,0.0,25.0,25.0,85.0,85.0,4.566666666666666
Density_20_TS_5_embed_P30N_C10N_trial_99,20.0,-0.7772052295517584,0.022709999999999,0.0436,5,0.0,55.0,55.0,35.0,35.0,4.133333333333334
Density_40_TS_5_embed_P30N_C10N_trial_0,40.0,-0.7923217700390363,0.2719133333333297,0.0604,5,0.0,95.0,95.0,95.0,95.0,4.366666666666666
Density_40_TS_5_embed_P30N_C10N_trial_1,40.0,-0.999828254098274,0.9634499999999998,0.4355999999999999,5,0.0,5.0,5.0,20.0,20.0,4.233333333333333
Density_40_TS_5_embed_P30N_C10N_trial_2,40.0,-0.4118703320073288,0.0042466666666665,0.2541,5,0.0,95.0,95.0,5.0,5.0,2.333333333333333
Density_40_TS_5_embed_P30N_C10N_trial_3,40.0,-0.9999850464622052,0.9824599999999996,0.118,5,0.0,20.0,20.0,85.0,85.0,4.233333333333333
Density_40_TS_5_embed_P30N_C10N_trial_4,40.0,-0.921193776428432,0.0282066666666657,0.0605,5,0.0,75.0,75.0,95.0,95.0,4.4
Density_40_TS_5_embed_P30N_C10N_trial_5,40.0,-0.9255337215944376,0.7803733333333014,0.4584,5,0.0,10.0,10.0,15.0,15.0,3.033333333333333
Density_40_TS_5_embed_P30N_C10N_trial_6,40.0,-0.825007636277686,0.0109566666666666,0.0552,5,0.0,95.0,95.0,90.0,90.0,5.833333333333333
Density_40_TS_5_embed_P30N_C10N_trial_7,40.0,-0.8654646284298393,0.1646766666666634,0.079,5,0.0,70.0,70.0,65.0,65.0,2.533333333333333
Density_40_TS_5_embed_P30N_C10N_trial_8,40.0,-0.968618715355678,0.7961266666666417,0.1551,5,0.0,10.0,10.0,60.0,60.0,7.466666666666667
Density_40_TS_5_embed_P30N_C10N_trial_9,40.0,-0.8982211846032463,0.717116666666649,0.1989,5,0.0,10.0,10.0,35.0,35.0,8.833333333333334
Density_40_TS_5_embed_P30N_C10N_trial_10,40.0,-0.988324247027022,0.915466666666658,0.3495,5,0.0,10.0,10.0,20.0,20.0,5.166666666666667
Density_40_TS_5_embed_P30N_C10N_trial_11,40.0,-0.9017886675536704,0.2492566666666635,0.0781,5,0.0,90.0,90.0,50.0,50.0,8.333333333333334
Density_40_TS_5_embed_P30N_C10N_trial_12,40.0,-0.9453788930790438,0.6800366666666411,0.3256,5,0.0,5.0,5.0,35.0,35.0,5.166666666666667
Density_40_TS_5_embed_P30N_C10N_trial_13,40.0,-0.9178414504624212,0.3846899999999915,0.0827,5,0.0,45.0,45.0,70.0,70.0,3.466666666666667
Density_40_TS_5_embed_P30N_C10N_trial_14,40.0,-0.8612082150229637,0.2319666666666655,0.0719,5,0.0,40.0,40.0,100.0,100.0,5.7
Density_40_TS_5_embed_P30N_C10N_trial_15,40.0,-0.8566799791079626,0.5281466666666557,0.0882999999999999,5,0.0,70.0,70.0,55.0,55.0,8.4
Density_40_TS_5_embed_P30N_C10N_trial_16,40.0,-0.4722365705305671,0.0320399999999998,0.0693,5,0.0,60.0,60.0,80.0,80.0,3.7
Density_40_TS_5_embed_P30N_C10N_trial_17,40.0,-0.9339001294565666,0.8211999999999946,0.157,5,0.0,15.0,15.0,65.0,65.0,4.366666666666666
Density_40_TS_5_embed_P30N_C10N_trial_18,40.0,-0.2465853861388723,0.0585766666666648,0.0804999999999999,5,0.0,65.0,65.0,45.0,45.0,5.233333333333333
Density_40_TS_5_embed_P30N_C10N_trial_19,40.0,-0.9262806789132142,0.8112766666666599,0.1482,5,0.0,10.0,10.0,95.0,95.0,5.133333333333334
Density_40_TS_5_embed_P30N_C10N_trial_20,40.0,-0.7647325483475188,0.0528799999999987,0.0642,5,0.0,65.0,65.0,95.0,95.0,6.533333333333333
Density_40_TS_5_embed_P30N_C10N_trial_21,40.0,0.4940033584145075,0.0381466666666661,0.0681,5,0.0,55.0,55.0,80.0,80.0,6.1
Density_40_TS_5_embed_P30N_C10N_trial_22,40.0,-0.8581064086429359,0.0680466666666657,0.0902,5,0.0,70.0,70.0,40.0,40.0,8.2
Density_40_TS_5_embed_P30N_C10N_trial_23,40.0,-0.9096510670220016,0.6571133333333308,0.3222,5,0.0,15.0,15.0,20.0,20.0,4.833333333333333
Density_40_TS_5_embed_P30N_C10N_trial_24,40.0,-0.8570044191150579,0.3628399999999934,0.0737,5,0.0,65.0,65.0,75.0,75.0,9.766666666666667
Density_40_TS_5_embed_P30N_C10N_trial_25,40.0,-0.8495124680322942,0.1830966666666645,0.0709,5,0.0,45.0,45.0,65.0,65.0,7.733333333333333
Density_40_TS_5_embed_P30N_C10N_trial_26,40.0,-0.935723414647928,0.0518866666666662,0.0902,5,0.0,80.0,80.0,25.0,25.0,8.266666666666667
Density_40_TS_5_embed_P30N_C10N_trial_27,40.0,-0.8201134391030638,0.0567166666666648,0.1146,5,0.0,40.0,40.0,25.0,25.0,4.5
Density_40_TS_5_embed_P30N_C10N_trial_28,40.0,-0.896456977530267,0.2286666666666638,0.0661,5,0.0,75.0,75.0,100.0,100.0,9.266666666666667
Density_40_TS_5_embed_P30N_C10N_trial_29,40.0,-0.8911860897151421,0.4905066666666566,0.1253999999999999,5,0.0,15.0,15.0,70.0,70.0,8.633333333333333
Density_40_TS_5_embed_P30N_C10N_trial_30,40.0,-0.8500390776510869,0.1094666666666654,0.0669,5,0.0,90.0,90.0,50.0,50.0,9.9
Density_40_TS_5_embed_P30N_C10N_trial_31,40.0,-0.9409609013206762,0.7658366666666572,0.077,5,0.0,50.0,50.0,100.0,100.0,6.166666666666667
Density_40_TS_5_embed_P30N_C10N_trial_32,40.0,-0.8643090136125097,0.1252366666666648,0.0677,5,0.0,85.0,85.0,85.0,85.0,3.6
Density_40_TS_5_embed_P30N_C10N_trial_33,40.0,-0.8234707038758999,0.2447033333333286,0.2198,5,0.0,60.0,60.0,5.0,5.0,4.733333333333333
Density_40_TS_5_embed_P30N_C10N_trial_34,40.0,-0.8868073565778869,0.2397266666666598,0.1736999999999999,5,0.0,15.0,15.0,25.0,25.0,7.233333333333333
Density_40_TS_5_embed_P30N_C10N_trial_35,40.0,-0.6895993095430317,0.0503699999999989,0.1198,5,0.0,70.0,70.0,25.0,25.0,8.366666666666667
Density_40_TS_5_embed_P30N_C10N_trial_36,40.0,-0.5731241631506331,0.0103599999999998,0.1954999999999999,5,0.0,100.0,100.0,5.0,5.0,2.1333333333333333
Density_40_TS_5_embed_P30N_C10N_trial_37,40.0,-0.957538232789676,0.8484233333333109,0.2363,5,0.0,10.0,10.0,30.0,30.0,7.3
Density_40_TS_5_embed_P30N_C10N_trial_38,40.0,-0.9073797989750484,0.7432533333333288,0.1425,5,0.0,15.0,15.0,55.0,55.0,3.6
Density_40_TS_5_embed_P30N_C10N_trial_39,40.0,-0.8460015130756882,0.5467699999999928,0.2999,5,0.0,50.0,50.0,10.0,10.0,3.066666666666667
Density_40_TS_5_embed_P30N_C10N_trial_40,40.0,-0.9340677554480588,0.3261299999999953,0.0755,5,0.0,50.0,50.0,85.0,85.0,5.0
Density_40_TS_5_embed_P30N_C10N_trial_41,40.0,-0.9490419627712644,0.6638166666666441,0.1858,5,0.0,20.0,20.0,30.0,30.0,4.4
Density_40_TS_5_embed_P30N_C10N_trial_42,40.0,-0.9252236108423388,0.5299066666666523,0.1536,5,0.0,30.0,30.0,20.0,20.0,7.933333333333334
Density_40_TS_5_embed_P30N_C10N_trial_43,40.0,-0.8599079619355876,0.3182433333333222,0.128,5,0.0,20.0,20.0,50.0,50.0,9.066666666666666
Density_40_TS_5_embed_P30N_C10N_trial_44,40.0,-0.8342212478235178,0.1408099999999953,0.0695,5,0.0,90.0,90.0,55.0,55.0,6.766666666666667
Density_40_TS_5_embed_P30N_C10N_trial_45,40.0,-0.8998259113756686,0.2657866666666608,0.0844999999999999,5,0.0,40.0,40.0,85.0,85.0,9.9
Density_40_TS_5_embed_P30N_C10N_trial_46,40.0,-0.7972225220124818,0.1636533333333287,0.0757,5,0.0,45.0,45.0,85.0,85.0,7.366666666666666
Density_40_TS_5_embed_P30N_C10N_trial_47,40.0,-0.9235594399029514,0.6390099999999947,0.1672,5,0.0,60.0,60.0,35.0,35.0,2.7
Density_40_TS_5_embed_P30N_C10N_trial_48,40.0,-0.926007148082093,0.3010333333333271,0.0797,5,0.0,80.0,80.0,50.0,50.0,4.866666666666666
Density_40_TS_5_embed_P30N_C10N_trial_49,40.0,-0.892430357756802,0.2543799999999919,0.0623,5,0.0,90.0,90.0,95.0,95.0,9.366666666666667
Density_40_TS_5_embed_P30N_C10N_trial_50,40.0,-0.8704047085902739,0.4486866666666554,0.3041999999999999,5,0.0,50.0,50.0,5.0,5.0,5.7
