index,Core Density,CC AB,F1,Self Activation Status,Impurity
80_With Self Activation_Network_95,80,-0.999998055565892,0.9907566666666666,With Self Activation,0.0
80_With Self Activation_Network_96,80,-0.9999991634745884,0.9926466666666668,With Self Activation,0.0
80_With Self Activation_Network_97,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_98,80,-1.0,1.0,With Self Activation,0.0
80_With Self Activation_Network_99,80,-0.9999996627541936,0.9944633333333333,With Self Activation,0.0
80_With Self Activation_Network_0,80,-0.9549363282400616,0.6035666666666666,With Self Activation,20.0
80_With Self Activation_Network_1,80,-0.961916753758544,0.6483899999999999,With Self Activation,20.0
80_With Self Activation_Network_2,80,-1.0,1.0,With Self Activation,20.0
80_With Self Activation_Network_3,80,-0.7440153853403261,0.0,With Self Activation,20.0
80_With Self Activation_Network_4,80,-0.9413371324777936,0.6820466666666666,With Self Activation,20.0
80_With Self Activation_Network_5,80,-0.8293806833386517,0.5411666666666666,With Self Activation,20.0
80_With Self Activation_Network_6,80,-0.9561025162740634,0.8950466666666665,With Self Activation,20.0
80_With Self Activation_Network_7,80,-0.998936393692446,0.9026666666666664,With Self Activation,20.0
80_With Self Activation_Network_8,80,-0.9261140861369898,0.7650533333333334,With Self Activation,20.0
80_With Self Activation_Network_9,80,-0.9254167661353842,0.5577066666666666,With Self Activation,20.0
80_With Self Activation_Network_10,80,-0.9996907243419872,0.90317,With Self Activation,20.0
80_With Self Activation_Network_11,80,-0.99998146746122,1.0000000000000004e-05,With Self Activation,20.0
80_With Self Activation_Network_12,80,-0.979230335336494,0.8276766666666666,With Self Activation,20.0
80_With Self Activation_Network_13,80,-0.9312268659157872,0.6191366666666667,With Self Activation,20.0
80_With Self Activation_Network_14,80,-1.0,1.0,With Self Activation,20.0
80_With Self Activation_Network_15,80,-0.9369645133479249,0.6143233333333333,With Self Activation,20.0
80_With Self Activation_Network_16,80,-0.928298988998584,0.5150133333333333,With Self Activation,20.0
80_With Self Activation_Network_17,80,-0.8947175806488542,0.4314633333333332,With Self Activation,20.0
80_With Self Activation_Network_18,80,-0.9421194082797296,0.6137233333333333,With Self Activation,20.0
80_With Self Activation_Network_19,80,-0.9999999999999082,0.99995,With Self Activation,20.0
80_With Self Activation_Network_20,80,-0.9999556150703496,0.9719533333333332,With Self Activation,20.0
80_With Self Activation_Network_21,80,-1.0,1.0,With Self Activation,20.0
80_With Self Activation_Network_22,80,-0.9099908528789712,0.7059233333333332,With Self Activation,20.0
80_With Self Activation_Network_23,80,-0.9437700513164232,0.6825333333333333,With Self Activation,20.0
80_With Self Activation_Network_24,80,-0.9740337204444278,0.6918733333333333,With Self Activation,20.0
80_With Self Activation_Network_25,80,-0.8707289270774407,0.0,With Self Activation,20.0
