index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
TS_6_embed_P30N_C12N_trial_78,100.0,-1.0,0.9999833333333304,0.5106944444444443,6,0.0,18.0,18.0,90.0,90.0,8.7
TS_6_embed_P30N_C12N_trial_79,100.0,-0.996457315983428,0.9876099999999896,0.7400694444444446,6,0.0,108.0,108.0,6.0,6.0,6.133333333333334
TS_6_embed_P30N_C12N_trial_80,100.0,-0.999999999999698,0.9996899999999952,0.3251388888888888,6,0.0,102.0,102.0,54.0,54.0,6.8
TS_6_embed_P30N_C12N_trial_81,100.0,-1.0,0.9999999999999956,0.3290277777777777,6,0.0,72.0,72.0,84.0,84.0,4.266666666666667
TS_6_embed_P30N_C12N_trial_82,100.0,-0.990412567109128,0.9701533333333268,0.2956944444444444,6,0.0,120.0,120.0,42.0,42.0,9.9
TS_6_embed_P30N_C12N_trial_83,100.0,-0.9004569252338441,0.3638666666666606,0.2465972222222222,6,0.0,114.0,114.0,84.0,84.0,6.4
TS_6_embed_P30N_C12N_trial_84,100.0,-0.9989696529607128,0.9976866666666564,0.6809722222222222,6,0.0,60.0,60.0,18.0,18.0,3.633333333333333
TS_6_embed_P30N_C12N_trial_85,100.0,-0.9999399383257892,0.9996899999999982,0.2511111111111112,6,0.0,84.0,84.0,108.0,108.0,4.966666666666667
TS_6_embed_P30N_C12N_trial_86,100.0,-1.0,0.9999999999999896,0.4224305555555556,6,0.0,42.0,42.0,72.0,72.0,7.4
TS_6_embed_P30N_C12N_trial_87,100.0,-1.0,0.9999999999999988,0.3369444444444444,6,0.0,48.0,48.0,120.0,120.0,5.133333333333334
TS_6_embed_P30N_C12N_trial_88,100.0,-0.9999179273881948,0.9997766666666598,0.2893749999999999,6,0.0,66.0,66.0,84.0,84.0,8.733333333333333
TS_6_embed_P30N_C12N_trial_89,100.0,-1.0,0.9995033333333208,0.379375,6,0.0,72.0,72.0,54.0,54.0,5.633333333333334
TS_6_embed_P30N_C12N_trial_90,100.0,-0.9973673771164172,0.9939233333333264,0.2420833333333333,6,0.0,114.0,114.0,78.0,78.0,8.166666666666666
TS_6_embed_P30N_C12N_trial_91,100.0,-0.9998449223207944,0.999009999999999,0.2594444444444443,6,0.0,114.0,114.0,84.0,84.0,4.133333333333334
TS_6_embed_P30N_C12N_trial_92,100.0,-0.9990454384256268,0.9978633333333282,0.2265972222222222,6,0.0,114.0,114.0,102.0,102.0,6.933333333333334
TS_6_embed_P30N_C12N_trial_93,100.0,-0.9999999999673403,0.9993966666666578,0.2453472222222222,6,0.0,84.0,84.0,120.0,120.0,6.3
TS_6_embed_P30N_C12N_trial_94,100.0,-0.998779888863374,0.9960333333333148,0.4040972222222222,6,0.0,96.0,96.0,30.0,30.0,7.966666666666667
TS_6_embed_P30N_C12N_trial_95,100.0,-0.9999999999997512,0.9998699999999971,0.3593749999999999,6,0.0,114.0,114.0,42.0,42.0,5.733333333333333
TS_6_embed_P30N_C12N_trial_96,100.0,-1.0,0.999999999999998,0.3874305555555556,6,0.0,30.0,30.0,96.0,96.0,9.833333333333334
TS_6_embed_P30N_C12N_trial_97,100.0,-1.0,0.999909999999996,0.3157638888888889,6,0.0,54.0,54.0,120.0,120.0,5.666666666666667
TS_6_embed_P30N_C12N_trial_98,100.0,-0.9983621521870176,0.995086666666664,0.3333333333333332,6,0.0,120.0,120.0,48.0,48.0,4.566666666666666
TS_6_embed_P30N_C12N_trial_99,100.0,-0.9999688897066408,0.9984433333333176,0.2618055555555555,6,0.0,102.0,102.0,78.0,78.0,8.966666666666667
