index,Type,Core_Density,Peripheral_Nodes,BiC A,BiC B,CC AB,F1 (Average),F1 (Strict),Team Strength,Team Size,Percentage_Impurity
0Indegree80% Density_0 Nodes_0 Edges_58,Lowered Density,80% Density,0 Nodes,0.4813660106215155,0.5198927798743531,0.8102146130517024,0.0004114323330956,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_59,Lowered Density,80% Density,0 Nodes,0.4689932656825462,0.507466031617593,0.8698550716077189,5.4207887247594525e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_60,Lowered Density,80% Density,0 Nodes,0.4299760863702316,0.4446147416447903,0.8069674255027677,0.0002543364362378,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_61,Lowered Density,80% Density,0 Nodes,0.4283783291192062,0.4459265532426175,0.8012016344963946,0.0001171783454417,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_62,Lowered Density,80% Density,0 Nodes,0.4741969332108178,0.4947931003024888,0.8788758848315605,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_63,Lowered Density,80% Density,0 Nodes,0.4031002443451096,0.4245812587072843,0.7687118951663345,0.0001001778156227,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_64,Lowered Density,80% Density,0 Nodes,0.494950899547702,0.4234804083429697,0.8373742804283901,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_65,Lowered Density,80% Density,0 Nodes,0.5031732278169814,0.4493913142562702,0.8359098039292477,2.6670934016109244e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_66,Lowered Density,80% Density,0 Nodes,0.4543332887264751,0.4608107759316971,0.8024503702116266,0.0002716357907317,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_67,Lowered Density,80% Density,0 Nodes,0.5175917742529165,0.5633837559673291,0.8764425464096264,2.921243281140453e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_68,Lowered Density,80% Density,0 Nodes,0.5030689378084625,0.5405672453597141,0.848706707356073,5.293526017680377e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_69,Lowered Density,80% Density,0 Nodes,0.4682181090547073,0.4557958491271709,0.817962532681754,9.601305777585752e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_70,Lowered Density,80% Density,0 Nodes,0.4443529890509412,0.4814194039445986,0.8335655195917773,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_71,Lowered Density,80% Density,0 Nodes,0.4937273908391151,0.5043516127851929,0.8252880768060643,5.3363216734704765e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_72,Lowered Density,80% Density,0 Nodes,0.4527167422070369,0.4455324799202402,0.8017184977653682,5.9303187546330616e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_73,Lowered Density,80% Density,0 Nodes,0.4568870797790623,0.505995926743451,0.8415336225751543,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_74,Lowered Density,80% Density,0 Nodes,0.4905966404566582,0.4621611001675209,0.8297409281146765,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_75,Lowered Density,80% Density,0 Nodes,0.5027787397206445,0.5125822177459067,0.8692461398705252,0.0001366166877284,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_76,Lowered Density,80% Density,0 Nodes,0.4944520432032972,0.4902643729701018,0.8150409192460457,0.0002741091452778,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_77,Lowered Density,80% Density,0 Nodes,0.4425374561543456,0.4047188263019303,0.7682984278252821,9.366804046459348e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_78,Lowered Density,80% Density,0 Nodes,0.5222488028381365,0.503048111555569,0.8449466164970502,2.637756851573422e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_79,Lowered Density,80% Density,0 Nodes,0.4285262994008255,0.4717342033955685,0.8116372472176414,0.0001705528348317,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_80,Lowered Density,80% Density,0 Nodes,0.4911870812050391,0.502629766355807,0.8299219703689149,0.0002006823198876,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_81,Lowered Density,80% Density,0 Nodes,0.455021550942928,0.4822139713290311,0.829451037078449,2.9448141822251012e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_82,Lowered Density,80% Density,0 Nodes,0.4501931887961379,0.4442768394761076,0.8364385782726361,5.006007208650381e-05,0.0,0.02,5,100% Impurity
