,index,Team Size,CC AB,F1,Team_Strength,Core Density,Impurity,Self Activation Status
0,Random_Network_Density_above_20p_Impurity_below_40p_1,5,-0.9999953091807999,0.9875466666666666,0.39020000000000005,92.0,8.695652173913043,With Self Activation
1,Random_Network_Density_above_20p_Impurity_below_40p_2,5,-0.98975926376769,0.0,0.0269,32.0,25.0,With Self Activation
2,Random_Network_Density_above_20p_Impurity_below_40p_3,5,-0.9825284019526198,0.9361433333333332,0.2041,52.0,15.384615384615383,With Self Activation
3,Random_Network_Density_above_20p_Impurity_below_40p_4,5,-0.9999999999999999,1.0,0.1829,96.0,16.666666666666668,With Self Activation
4,Random_Network_Density_above_20p_Impurity_below_40p_5,5,-0.8745663272883344,0.17658333333333331,0.04890000000000001,76.0,31.57894736842105,With Self Activation
5,Random_Network_Density_above_20p_Impurity_below_40p_6,5,-0.9111947617661189,0.6023466666666666,0.1655,52.0,15.384615384615383,With Self Activation
6,Random_Network_Density_above_20p_Impurity_below_40p_7,5,-1.0,0.9999999999999999,0.976,76.0,0.0,With Self Activation
7,Random_Network_Density_above_20p_Impurity_below_40p_8,5,-0.9151643940925466,0.0,0.05890000000000002,56.00000000000001,28.57142857142857,With Self Activation
8,Random_Network_Density_above_20p_Impurity_below_40p_9,5,-0.7618885126674987,0.0,0.11110000000000002,36.0,22.22222222222222,With Self Activation
9,Random_Network_Density_above_20p_Impurity_below_40p_10,5,-0.861024792649457,0.3255566666666666,0.3053,32.0,12.5,With Self Activation
10,Random_Network_Density_above_20p_Impurity_below_40p_11,5,-0.9997035865985505,0.8972699999999999,0.2626,100.0,12.0,With Self Activation
11,Random_Network_Density_above_20p_Impurity_below_40p_12,5,-0.9971534531522728,9e-05,0.030300000000000007,56.00000000000001,35.71428571428571,With Self Activation
12,Random_Network_Density_above_20p_Impurity_below_40p_13,5,-0.9011412169759307,0.0,0.0523,100.0,32.0,With Self Activation
13,Random_Network_Density_above_20p_Impurity_below_40p_14,5,-0.9991289214740429,0.9258133333333334,0.6446,100.0,4.0,With Self Activation
14,Random_Network_Density_above_20p_Impurity_below_40p_15,5,-0.9966606761236889,0.8237366666666666,0.9409999999999998,44.0,0.0,With Self Activation
15,Random_Network_Density_above_20p_Impurity_below_40p_16,5,-0.9988108499424107,0.9115133333333332,0.15730000000000002,92.0,17.391304347826086,With Self Activation
16,Random_Network_Density_above_20p_Impurity_below_40p_17,5,-0.6549706459058598,0.0,0.07619999999999999,64.0,25.0,With Self Activation
17,Random_Network_Density_above_20p_Impurity_below_40p_18,5,-0.9999998809266444,0.9960866666666667,0.5859000000000001,84.0,4.761904761904762,With Self Activation
