,Unnamed: 0,index,Team Size,CC AB,F1,Team_Strength,Core Density,Impurity,Self Activation Status,log(Team Strength)
599,599,Random_Network_Density_above_20p_Impurity_below_40p_600,5,-0.8154231250958518,0.0367733333333332,0.0139,32.0,37.5,With Self Activation,-4.275866438845491
600,600,Random_Network_Density_above_20p_Impurity_below_40p_601,5,0.8234398269795734,0.0,0.0078,80.0,95.0,With Self Activation,-4.853631545286591
601,601,Random_Network_Density_above_20p_Impurity_below_40p_602,5,0.7151658313262571,0.0,0.0221999999999999,76.0,78.94736842105263,With Self Activation,-3.807662990103908
602,602,Random_Network_Density_above_20p_Impurity_below_40p_603,5,-1.0,1.0,0.98,80.0,0.0,With Self Activation,-0.020202707317519466
603,603,Random_Network_Density_above_20p_Impurity_below_40p_604,5,-1.0,0.9999999999999998,0.606,76.0,5.2631578947368425,With Self Activation,-0.5008752929128226
604,604,Random_Network_Density_above_20p_Impurity_below_40p_605,5,0.0008619269624501,0.0,0.013,56.00000000000001,64.28571428571428,With Self Activation,-4.3428059215206005
605,605,Random_Network_Density_above_20p_Impurity_below_40p_606,5,-0.5394999537865058,0.0,0.0238999999999999,60.0,40.0,With Self Activation,-3.733876820044676
606,606,Random_Network_Density_above_20p_Impurity_below_40p_607,5,-1.0,1.0,0.3605,44.0,9.090909090909092,With Self Activation,-1.0202633222571333
607,607,Random_Network_Density_above_20p_Impurity_below_40p_608,5,-0.916755909903394,0.4929099999999998,0.0722999999999999,60.0,26.666666666666668,With Self Activation,-2.6269311498174193
608,608,Random_Network_Density_above_20p_Impurity_below_40p_609,5,-0.9709015075247396,0.4640599999999999,0.1204999999999999,56.00000000000001,21.428571428571427,With Self Activation,-2.1161055260514283
609,609,Random_Network_Density_above_20p_Impurity_below_40p_610,5,1.0,0.0,0.0092,28.000000000000004,57.14285714285714,With Self Activation,-4.688551794927142
610,610,Random_Network_Density_above_20p_Impurity_below_40p_611,5,-0.9999880716849406,0.97984,0.96,60.0,0.0,With Self Activation,-0.040821994520255166
611,611,Random_Network_Density_above_20p_Impurity_below_40p_612,5,0.6503272706275485,0.0,0.043,32.0,100.0,With Self Activation,-3.146555163288575
612,612,Random_Network_Density_above_20p_Impurity_below_40p_613,5,0.7258911959710843,0.0,0.0307,40.0,50.0,With Self Activation,-3.4834926243889854
613,613,Random_Network_Density_above_20p_Impurity_below_40p_614,5,-0.1286141078858685,0.0035233333333333,0.0584,20.0,40.0,With Self Activation,-2.8404393891479556
614,614,Random_Network_Density_above_20p_Impurity_below_40p_615,5,0.998438577129361,0.0,0.0089,52.0,76.92307692307692,With Self Activation,-4.721704002244043
615,615,Random_Network_Density_above_20p_Impurity_below_40p_616,5,0.9432314810930588,0.0,0.0148,56.00000000000001,85.71428571428571,With Self Activation,-4.213128098212068
616,616,Random_Network_Density_above_20p_Impurity_below_40p_617,5,-1.0,0.0,0.0713,44.0,27.272727272727277,With Self Activation,-2.6408589515618868
617,617,Random_Network_Density_above_20p_Impurity_below_40p_618,5,-0.7358231260508217,0.1114033333333332,0.0641,60.0,26.666666666666668,With Self Activation,-2.747310915055513
618,618,Random_Network_Density_above_20p_Impurity_below_40p_619,5,0.9672494757530644,0.0,0.0094,76.0,78.94736842105263,With Self Activation,-4.667045589706179
619,619,Random_Network_Density_above_20p_Impurity_below_40p_620,5,-0.7999941483370944,0.0,0.0114,48.0,66.66666666666667,With Self Activation,-4.474141923581687
620,620,Random_Network_Density_above_20p_Impurity_below_40p_621,5,-0.8559781218744376,0.0,0.0127,64.0,75.0,With Self Activation,-4.3661532855175915
621,621,Random_Network_Density_above_20p_Impurity_below_40p_622,5,-0.3222097838806133,0.0,0.0146,28.000000000000004,57.14285714285714,With Self Activation,-4.226733750267846
622,622,Random_Network_Density_above_20p_Impurity_below_40p_623,5,-0.7592805391768094,0.0069933333333333,0.0752,28.000000000000004,28.57142857142857,With Self Activation,-2.5876040480263427
623,623,Random_Network_Density_above_20p_Impurity_below_40p_624,5,0.8590350015022794,0.0,0.0409999999999999,24.0,100.0,With Self Activation,-3.1941832122778315
624,624,Random_Network_Density_above_20p_Impurity_below_40p_625,5,0.79665772684453,0.0,0.0159,28.000000000000004,85.71428571428571,With Self Activation,-4.141436169755951
625,625,Random_Network_Density_above_20p_Impurity_below_40p_626,5,0.8555605178652032,0.0,0.0167,64.0,81.25,With Self Activation,-4.092346559559427
626,626,Random_Network_Density_above_20p_Impurity_below_40p_627,5,-0.4816380211885702,0.0,0.0157,28.000000000000004,42.85714285714285,With Self Activation,-4.154094566627875
627,627,Random_Network_Density_above_20p_Impurity_below_40p_628,5,-0.597619806664078,1.0000000000000004e-05,0.0808,64.0,25.0,With Self Activation,-2.5157783134550873
628,628,Random_Network_Density_above_20p_Impurity_below_40p_629,5,0.4438658286799143,0.0,0.0250999999999999,88.0,72.72727272727273,With Self Activation,-3.684887432844403
629,629,Random_Network_Density_above_20p_Impurity_below_40p_630,5,0.9045727539616744,0.0,0.0259,88.0,95.45454545454544,With Self Activation,-3.653512310276645
630,630,Random_Network_Density_above_20p_Impurity_below_40p_631,5,-0.3039030231529358,0.0,0.0106,56.00000000000001,42.85714285714285,With Self Activation,-4.546901277864116
631,631,Random_Network_Density_above_20p_Impurity_below_40p_632,5,-0.2872493015772069,0.0005866666666665,0.0204,64.0,37.5,With Self Activation,-3.892220378131966
632,632,Random_Network_Density_above_20p_Impurity_below_40p_633,5,-0.909074707050096,0.0,0.1915,44.0,18.181818181818183,With Self Activation,-1.6528674703614363
633,633,Random_Network_Density_above_20p_Impurity_below_40p_634,5,0.9996649754052666,0.0,0.045,36.0,100.0,With Self Activation,-3.101092789211817
634,634,Random_Network_Density_above_20p_Impurity_below_40p_635,5,0.8029815324848427,0.0,0.0409999999999999,52.0,100.0,With Self Activation,-3.1941832122778315
635,635,Random_Network_Density_above_20p_Impurity_below_40p_636,5,0.2127179920851155,0.0005299999999999,0.012,64.0,56.25,With Self Activation,-4.422848629194137
636,636,Random_Network_Density_above_20p_Impurity_below_40p_637,5,0.4825526428110253,1.6666666666666667e-05,0.0097,84.0,57.142857142857146,With Self Activation,-4.6356293934728
637,637,Random_Network_Density_above_20p_Impurity_below_40p_638,5,-0.7456110467237103,0.1238766666666666,0.0474,60.0,26.666666666666668,With Self Activation,-3.0491330502811063
638,638,Random_Network_Density_above_20p_Impurity_below_40p_639,5,-0.761299306538879,0.2697999999999999,0.1082,44.0,18.181818181818183,With Self Activation,-2.2237739125697558
639,639,Random_Network_Density_above_20p_Impurity_below_40p_640,5,-0.533442675667059,6.666666666666667e-05,0.0312,60.0,33.333333333333336,With Self Activation,-3.4673371841667002
640,640,Random_Network_Density_above_20p_Impurity_below_40p_641,5,1.0,0.0,0.0134,64.0,75.0,With Self Activation,-4.312500572025272
641,641,Random_Network_Density_above_20p_Impurity_below_40p_642,5,-0.9886806417256664,0.9557099999999998,0.0890999999999999,92.0,26.08695652173913,With Self Activation,-2.4179959445053747
642,642,Random_Network_Density_above_20p_Impurity_below_40p_643,5,-0.242121724061841,0.0,0.0522,24.0,33.333333333333336,With Self Activation,-2.952672784093544
643,643,Random_Network_Density_above_20p_Impurity_below_40p_644,5,0.9983303817478096,0.0,0.0071,56.00000000000001,78.57142857142857,With Self Activation,-4.947660494934867
644,644,Random_Network_Density_above_20p_Impurity_below_40p_645,5,0.7502975860699318,0.0,0.044,24.0,100.0,With Self Activation,-3.123565645063876
645,645,Random_Network_Density_above_20p_Impurity_below_40p_646,5,0.0696240197812626,0.0,0.0359,100.0,36.0,With Self Activation,-3.3270179834879037
646,646,Random_Network_Density_above_20p_Impurity_below_40p_647,5,-0.939485472226707,0.4151933333333332,0.8909999999999999,28.000000000000004,0.0,With Self Activation,-0.11541085151132785
647,647,Random_Network_Density_above_20p_Impurity_below_40p_648,5,-0.9633376524091896,0.7308166666666667,0.1011,92.0,21.73913043478261,With Self Activation,-2.2916451529557116
648,648,Random_Network_Density_above_20p_Impurity_below_40p_649,5,-0.91154196484025,0.1215499999999999,0.0627,92.0,30.434782608695656,With Self Activation,-2.769393831343262
649,649,Random_Network_Density_above_20p_Impurity_below_40p_650,5,-0.964990041713853,0.4272833333333332,0.8560000000000001,24.0,0.0,With Self Activation,-0.15548490284039485
650,650,Random_Network_Density_above_20p_Impurity_below_40p_651,5,0.16749823983308,0.0,0.004,36.0,88.88888888888889,With Self Activation,-5.521460917862246
651,651,Random_Network_Density_above_20p_Impurity_below_40p_652,5,0.473251304331001,0.0,0.0136,72.0,72.22222222222223,With Self Activation,-4.29768548624013
652,652,Random_Network_Density_above_20p_Impurity_below_40p_653,5,0.6713335369346946,0.0,0.0212999999999999,76.0,89.47368421052632,With Self Activation,-3.8490482062667626
653,653,Random_Network_Density_above_20p_Impurity_below_40p_654,5,-0.9734305769562404,0.9412066666666667,0.1603,92.0,17.391304347826086,With Self Activation,-1.8307082193666298
654,654,Random_Network_Density_above_20p_Impurity_below_40p_655,5,0.9927926808808648,0.0,0.0048,52.0,92.3076923076923,With Self Activation,-5.339139361068292
655,655,Random_Network_Density_above_20p_Impurity_below_40p_656,5,-0.9252209098451216,0.0,0.0686,24.0,33.333333333333336,With Self Activation,-2.6794627442502974
